model_name, N, D, M, phi_d, seed
sim_3l-lmm_, 20, 20, 10, 0, 20250624
sim_3l-lmm_, 20, 40, 5, 0, 20250624
sim_3l-lmm_Hd, 20, 20, 10, 0, 20250624
sim_3l-lmm_Hd, 20, 40, 5, 0, 20250624
sim_3l-lmm_ARd, 20, 20, 10, 0.1, 20250624
sim_3l-lmm_ARd, 20, 20, 10, 0.3, 20250624
sim_3l-lmm_ARd, 20, 20, 10, 0.5, 20250624
sim_3l-lmm_ARd, 20, 40, 5, 0.1, 20250624
sim_3l-lmm_ARd, 20, 40, 5, 0.3, 20250624
sim_3l-lmm_ARd, 20, 40, 5, 0.5, 20250624
sim_3l-lmm_ARdHd, 20, 20, 10, 0.1, 20250624
sim_3l-lmm_ARdHd, 20, 20, 10, 0.3, 20250624
sim_3l-lmm_ARdHd, 20, 20, 10, 0.5, 20250624
sim_3l-lmm_ARdHd, 20, 40, 5, 0.1, 20250624
sim_3l-lmm_ARdHd, 20, 40, 5, 0.3, 20250624
sim_3l-lmm_ARdHd, 20, 40, 5, 0.5, 20250624
