variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-5926.217851875,-5926.02,20.625301652850467,20.48211900000008,-5960.601500000001,-5892.7,1.0006910057240637,2537.5126612402482,5510.767406801644
beta,49.23081143125,49.2298,0.5134345006160503,0.5029720499999997,48.392790000000005,50.0682,1.001643073620128,1947.9645342604704,3738.0037636650877
s_raw[1],-0.1461934013265625,-0.14409149999999998,0.2774931693010603,0.27261626259,-0.6084705499999999,0.3078241,1.0014408381733209,1859.7232683458421,3544.7289606773425
s_raw[2],-1.418510072875,-1.41005,0.3501401096248807,0.34921901699999996,-2.0097794999999996,-0.8642332500000001,1.001852801738421,2486.062404829121,4380.4077110655735
s_raw[3],-0.79129033117875,-0.784699,0.30019974540236966,0.3014236994999999,-1.2929665000000001,-0.30960485000000026,1.0019019255984019,2014.4094001437268,4538.315819857108
s_raw[4],0.976165294829375,0.969355,0.3149947787053943,0.3164120441999999,0.4714897,1.5097874999999998,1.0012704063530138,2341.575335808338,4523.13459333825
s_raw[5],1.9153383649375,1.903625,0.40674096771412926,0.40228127099999983,1.2679725000000002,2.6088539999999996,1.0006393916043943,2940.6815806689965,5177.78337898231
s_raw[6],0.03757303147093994,0.035808099999999995,0.27000400724611406,0.2693091009,-0.40159705,0.4877661999999999,1.0008115854089008,1930.112898350933,4424.329229307425
s_raw[7],-0.37840682788753127,-0.377343,0.2809320766898782,0.2753173374,-0.8524722,0.07423426999999987,1.001555402587677,2096.1373494158174,4003.036761619683
s_raw[8],0.33513734548664376,0.332667,0.2802314802341091,0.2805353480999999,-0.12375444999999999,0.80315715,1.0014217018579956,2219.174686770849,3731.6348850525114
s_raw[9],-0.94249940643625,-0.9334745,0.31198743935280804,0.31003019249999997,-1.476419,-0.44839665000000006,1.0008460579992833,2135.7638710627207,4069.423565577139
s_raw[10],0.30876066344150627,0.302446,0.2776124424920866,0.27741225119999996,-0.13540045,0.7742080499999999,1.0026004913271591,2141.675196353265,4184.489658525996
s_raw[11],0.30147661915745627,0.2998645,0.27988053455030787,0.2748918312,-0.1493164,0.7747811499999999,1.001141092358075,2066.124798121148,3783.502818509724
s_raw[12],0.4949405076100625,0.49138400000000004,0.2828794613621535,0.2859409077,0.042749600000000006,0.96495,1.000215685086304,2190.696884306051,4304.972356966939
s_raw[13],1.3275077381875,1.316,0.347181311021342,0.34260662099999994,0.7827656500000001,1.9225264999999998,1.0022865129588563,2658.2053769699055,5175.327536173708
s_raw[14],1.7458747596875,1.7342149999999998,0.3916832601514835,0.3921773519999999,1.120156,2.4075434999999996,1.0013777509188988,2715.840715482148,5203.475032566247
s_raw[15],-0.24405394616201626,-0.2418105,0.2803516987071594,0.27666872730000003,-0.7099552,0.21230025,1.0005996557349972,1903.9176305357187,3485.5629687146884
s_raw[16],-0.764430737291875,-0.7561165,0.2965987024214991,0.29318118480000005,-1.2733174999999999,-0.29655800000000015,1.0007335435876232,2292.8732768341565,4174.84395908426
s_raw[17],-1.7953239805625,-1.78596,0.39161477736191286,0.3944383170000001,-2.45919,-1.1719015000000002,1.00091925749512,2714.647461511191,4987.820616342718
s_raw[18],-0.21366897595655626,-0.21355400000000002,0.27061792698042325,0.27348373184999997,-0.65923415,0.22797194999999998,1.0007895665341444,2108.9468053384703,4048.5899611558384
s_raw[19],-0.0628953252271375,-0.0634039,0.27701039372810043,0.27282820026,-0.5214101999999999,0.39485645,1.0001750308923998,2148.123897655562,4257.770404854016
s_raw[20],-0.645681222372875,-0.6423285000000001,0.2932568158825204,0.29386836990000004,-1.136677,-0.17397145000000028,1.0014742277169522,2208.2624550517667,3752.679399198349
psi_s,2.251830875625,2.20354,0.3958198077921058,0.3635779980000004,1.7053125,2.9586725,1.0019072407993552,3161.532774271572,5511.1403938213525
